"","HE_AMI1_S7","HE_AMI2_S8","HE_AMI3_S9","HE_CLA1_S10","HE_CLA2_S11","HE_CLA3_S12","HE_NCA1_S19","HE_NCA2_S20","HE_NCA3_S21","HE_NTP1_S4","HE_NTP2_S5","HE_NTP3_S6","HE_NTP_AMI1_S13","HE_NTP_AMI2_S14","HE_NTP_AMI3_S15","HE_NTP_CLA1_S16","HE_NTP_CLA2_S17","HE_NTP_CLA3_S18","HE_unt1_S1","HE_unt2_S2","HE_unt3_S3"
"MAB_4706c",1054.23,461.58,662.55,1071.32,1176.3,1466.08,46.11,53.11,44.54,2260.66,1779.23,1853.03,2591.65,737.15,517.54,3222,3777.36,4628.07,740.93,680.7,613.93
"MAB_4707c",552.76,453.34,403.8,437.82,415.99,508.96,72.74,103.11,108.43,554.07,577.11,653.43,611.07,501.57,397.36,522.28,520.07,598.96,651.54,647.47,603.26
"MAB_4708c",280.84,247.53,193.78,115.74,103.76,175.23,10.64,24.95,8.34,223.11,223.27,234.47,269.49,216.54,169.16,128.34,111.43,150.86,308.01,296.07,271.53
"MAB_4709c",129.43,116.68,80.01,94.58,88.64,118.07,29.81,40.11,28.66,118.65,103.34,151.27,126.49,121.95,135.93,126.61,145.7,149.07,128.47,99.3,85.14
"MAB_4710c",112.46,130.41,80.89,110.46,93.86,106.05,37.42,57.68,34.19,100.8,98.49,117.61,124.09,138.07,150,116.7,110.41,144.74,156.72,108.43,93.7
"MAB_4711",422.09,446,277.08,505.28,349.16,487.42,2959.09,2220.11,4029.07,531.93,1123.88,1102.91,1138.99,1491.34,891.53,768.89,845.04,719.08,243.11,203.55,215.43
"MAB_4712",349.27,352.84,286.73,214.61,150.15,276.49,803.85,894.04,825.97,325.61,360.11,442.96,319.97,386.86,376.74,244.82,274.14,243.5,405.36,327.36,344.12
"MAB_4713",306.72,254.16,231.68,351.05,268.31,570.12,1456.62,1928.42,1656.19,273.97,291.28,329.05,321.72,344.81,309.7,405.73,517.08,583.93,363.07,377.74,332.09
"MAB_4714c",1821.64,1555.96,1277.81,1485.16,1106.38,1695.74,17445.35,23679,20063.55,2170.7,2248.97,2302.7,3354.18,3127.7,3001.3,2068.68,2263.38,2112.89,1560.24,1854.66,1799.84
"MAB_4715c",307,294.14,225.51,559.65,518.5,529.7,43.59,81.23,71.99,268.82,376.69,404.34,610.62,778.07,535.95,748.8,941.05,804.64,474.03,500.32,505.86
"MAB_4716c",646.23,597.96,447.77,2773.97,2593.16,2583.04,29.78,70.08,33.68,279.03,280.11,305.01,820.77,972.09,692.66,3750.27,4264.89,4701.34,737.62,627.68,720.69
"MAB_4717c",260.16,270.2,183.01,437.5,287.68,487.47,44.69,57.14,57.59,279.04,241.07,290.46,263.7,314.69,331.85,480.53,473.22,542.74,303.03,273.53,270.53
"MAB_4718",434.07,430.66,324.65,800.34,544.15,868.36,39.86,47.35,36.26,368.23,299.59,315.93,394.36,528.95,501.16,1067.19,1105.36,1288.28,338.5,296.97,292.32
"MAB_4719c",383.27,407.04,324.97,775.47,575.27,870.11,30.54,26,29.46,489.82,335,368.86,618.08,700.04,559.74,1217.74,1315.95,1459.14,314.11,329.05,297.2
"MAB_4720c",478.49,399.65,363.09,270.77,223.66,349.73,84.97,94.77,105.61,669.16,605.35,719.47,614.58,631.47,439.38,337.85,333.07,433.78,642.18,658.05,651.03
"MAB_4721",129.47,120.32,99.81,114.28,101.12,117.95,512.58,653.97,579.43,203.89,231.18,229.85,222.73,174.49,147.2,186.07,230.04,221.78,156.03,219.59,192.2
"MAB_4722",150.09,143.36,115.5,88.19,49.76,104.89,768.54,1148.54,785.32,157.49,165.04,180.49,189.14,155.82,105.39,103.74,158.86,141.68,131.88,163.46,192.97
"MAB_4723c",173.58,163.54,129.91,147.27,96.51,155.35,822.08,1256.15,832.22,180.38,139.61,157.08,194.09,208.57,201.05,167.51,155.08,162.19,130.45,140.41,135.82
"MAB_4724",1246.2,1125.08,930.34,683.54,406.18,1025.2,266.27,266.28,292.18,1309.3,840.78,1029.77,1399.59,1348.45,1279.14,960.58,1037.89,1333.81,574.62,520.24,490.77
"MAB_4725",226.35,244.08,170.22,198.74,131.12,258.95,88.08,73.59,82.61,216.64,192.18,203.46,288.12,336.64,382.08,213.92,253.24,264.08,169.91,163.8,127.32
"MAB_4726",216.45,224.18,135.04,90.59,82.84,150.65,51.5,65.22,54.39,140,133.53,147.53,147.24,235.99,240.55,133.82,127.97,111.36,176.45,131.19,125.12
"MAB_4727c",361.15,293.27,214.93,155.85,136.01,241.82,37.34,49.58,42.65,189.03,178.69,208.84,220.54,318.46,250.05,183,162.38,167.65,257.96,205.76,189.27
"MAB_4728c",391.86,257.92,296.28,211.62,135.68,265.82,38.41,72.65,49.31,83.62,102.55,135.85,180.23,188.38,145.58,101.11,83.18,105.46,137.01,82.14,102.35
"MAB_4729c",2482.27,1359.66,2085.2,863.35,586.14,1328.7,253.24,256.04,322.61,431.22,502.45,540.93,725.62,824.42,921.76,610.16,624.93,648.54,589.03,558.45,563.58
"MAB_4730",2776.54,2451.69,1987.18,642.84,413.32,786.65,174.97,205.8,198.22,558.96,513.08,572.64,1483.43,1352.54,1329.74,562.86,529.72,594.65,640.04,714.38,671.77
"MAB_4731c",166.91,149.97,137.97,52.01,44.81,80.3,17.2,20.82,13.96,34.54,51.74,60,96.7,88.57,105.77,55.86,67.78,73.64,66.54,79.42,69.95
"MAB_4732c",99.66,75.12,66.39,50.88,47.12,52.97,6.57,4.35,4.42,31.53,14.72,44.47,74.2,71.28,58.39,38.51,36.34,52.76,40.38,38.11,56.03
"MAB_4733",112.07,134.66,87.42,83.95,66.65,109.84,24.74,19.23,17.12,111.49,115.8,138.54,147.38,125.35,141.78,115.07,107.66,123.53,157.82,134.54,112.3
"MAB_4734",176.93,187.95,134.62,147.78,88.12,183.49,63.8,41,46.19,208.57,212.66,248.03,210.7,230.47,246.08,164.36,181.61,185.66,172.34,180.27,178
"MAB_4735",341.72,290.89,213.96,325.5,198.18,313.15,2830.69,2936.18,2538.41,133.16,129.24,111.24,342.46,362.47,346.07,292.97,324.15,294.03,106.3,101.85,96.27
"MAB_4736",374.96,309.34,220.27,347.15,237.76,328.84,2060.45,1775.76,1547.81,220.18,180.59,225.85,364.53,325.26,370.5,280.24,263.41,280.74,288.91,304.78,288.93
"MAB_4737",262.03,245.3,162.66,198.01,125.78,214.72,503.43,335.36,357.74,305.47,265.97,289.57,261.16,217.54,265.53,206.38,199.91,183.8,444.27,472.36,422.03
"MAB_4738c",358.28,391.14,255.38,377.24,297.55,373.47,131.93,127.09,124,649.53,566.86,619.86,520.53,481.34,438.84,483.31,485.39,549.22,860.82,741.64,751.91
"MAB_4739",577.42,429.73,434,214.11,171.08,222.3,4538.45,5003.32,6448.76,1529.82,1740.2,1692.76,1760.96,1166.39,751.81,308.68,312.88,322.97,1251.3,1327.24,1392.64
"MAB_4740",482.91,444.99,366.23,177.42,146.11,245.19,396.18,279.78,421.03,952.01,747.85,861.68,605.41,462.8,494.5,230.11,250.78,240.43,806.38,808.26,711.34
"MAB_4741c",271.66,257.69,180.95,135.82,98.89,235.16,91.74,67.59,72.31,263.66,206.65,287.05,261.08,307.16,262.16,123.51,137.28,139.47,245.8,230.86,207.88
"MAB_4742c",274.07,289.7,238.96,145.74,121.89,149.53,1360.5,448.27,633.38,521.07,433.68,435.66,452.47,357.16,317.78,166.01,133.19,156.16,568.23,543.91,446.04
"MAB_4743c",147.8,289.11,174.36,225.81,175.11,155.05,4727.01,1530.04,2375.95,197.42,141.99,150.59,122.49,265.95,499.78,175.61,110.14,92,329.47,185.72,158.74
"MAB_4744c",170.41,302.68,180.36,401.11,219.96,231.76,4252.99,1243.01,2663.51,230.23,224.34,205.97,206.66,606.95,749.84,278.53,184.84,93.31,317.46,123.86,116.58
"MAB_4745",9.89,18.35,14.12,35.46,18.97,10,30.16,8.77,15.35,15.47,14,10,13.93,45.68,36.89,53.16,13.46,8.58,15.11,13.57,11.18
