"","HE_AMI1_S7","HE_AMI2_S8","HE_AMI3_S9","HE_CLA1_S10","HE_CLA2_S11","HE_CLA3_S12","HE_NCA1_S19","HE_NCA2_S20","HE_NCA3_S21","HE_NTP1_S4","HE_NTP2_S5","HE_NTP3_S6","HE_NTP_AMI1_S13","HE_NTP_AMI2_S14","HE_NTP_AMI3_S15","HE_NTP_CLA1_S16","HE_NTP_CLA2_S17","HE_NTP_CLA3_S18","HE_unt1_S1","HE_unt2_S2","HE_unt3_S3"
"MAB_0001",458.86,402.7,311.3,197.76,140.61,253.73,22.15,37,20.77,893.84,610.36,803.34,351.09,299.49,407.55,248.61,217.43,279.27,818.69,743.11,737.74
"MAB_0002",1574.24,1270.93,1028.39,1287.07,980.39,1371.31,35.99,68.76,38.05,2119,1610.45,1899.99,1317.45,939.34,1167.11,1675.58,1665.76,1940.38,2689.19,2559.14,2570.64
"MAB_0003",732.27,592.69,569.86,452.49,451.46,519.11,29.86,61.92,38.14,1012.78,747,925.72,599.16,401.69,492.57,531.47,509.99,613.49,1562.01,1332.2,1310.82
"MAB_0004",392.89,349.43,268.57,205.3,198.89,219.26,45.22,113.49,60.39,791.61,659.69,734.04,302.08,234.55,307.72,266,194.18,253.55,1041.78,986.64,924.96
"MAB_0005",541.62,485.15,377.22,263.57,212.64,401.31,202.66,622.04,360.62,517.22,562.51,647.23,385.11,514,302.61,195.26,190.04,187.08,824.28,697.74,750.11
"MAB_0006",4578.07,3946.46,3656.53,965.38,871.41,1256.16,3912.68,5528.84,4004.93,3598.84,3454.45,3774.19,2281.26,2215.86,2558.46,978.81,907.07,933.88,6425.91,6757.73,5907.72
"MAB_0007",798.16,637.31,553.78,187.3,124.54,303.66,402.26,544.05,444.55,428.85,415.04,513.16,389.86,511.11,547.99,214.61,252.73,199.18,672.74,628,599.11
"MAB_0008",139.69,124.42,98.05,50.42,26.11,65.58,120.23,172.74,115.39,111.77,105,99.5,61.84,68.46,71.18,43.58,45.04,39.91,131.73,151.72,160.16
"MAB_0009",356.64,264.07,261.78,86.93,85,144.47,256.31,384.07,227.72,344.27,278.08,312.57,168.64,192.12,220.15,116.55,128.66,108.96,410.24,489.66,462.24
"MAB_0010c",718.51,622.54,526.35,289.8,284.99,328.27,638.53,786.97,872.91,760.51,847.62,896.14,654.57,562.18,540.92,393.8,392.99,337.16,1043.28,993.07,967.85
"MAB_0011c",331.3,272.93,223.42,195.69,118.66,240.55,153.38,151.01,138.78,314.32,323.46,392.2,360,392.74,309.69,244.14,288.86,288.36,304.09,323.3,283.16
"MAB_0012c",602.39,559.35,414,230.07,153.61,288.3,256.7,307.03,284.88,515.78,607.58,707.45,819.89,1010.57,751,395.27,541.54,436.35,450.36,427.49,409.46
"MAB_0013c",55.66,69.43,34.66,45.7,41.23,41.24,8.43,15,15.77,79.99,57.65,51.2,64.88,71.43,73.19,65.77,79.53,65.99,87.88,49.11,66.19
"MAB_0014",51.19,49.88,38.42,37.73,34.62,54.26,40.14,74.93,36.68,52.34,70.66,75.11,102.09,83.55,72.92,76.24,104.5,87.88,37.97,37.73,38.57
"MAB_0015",38.76,35.43,25.96,24.86,21.04,39.26,27.08,53.8,26.85,37.65,39.62,26.58,56.96,61.53,55.95,34.26,46.51,44.19,36.81,25.85,23.2
"MAB_0016",177.23,180.93,125.15,118.01,85.24,132.3,124.26,204.49,160.39,310.11,260.85,290.86,225.97,227.39,229.77,157.84,143.11,161.2,260.3,282.69,276.38
"MAB_0017",170.31,156.99,116.53,163.36,118.92,183.65,32.57,36.88,25.59,140.78,119.88,177.18,168.38,207.61,184,167.41,218.24,156.45,140.57,136.32,131.96
"MAB_0018c",254.96,237.99,174.97,243.27,164.91,257.2,63.69,69.77,68.66,252.43,292.05,312.36,423.08,459.12,360.36,349.72,343.36,322.7,201.39,211.81,193.86
"MAB_0019",6516.86,5098.24,4610.93,1291.59,1277.46,1236.53,159.31,299.35,149.8,6382.82,5769.66,6230.93,7175.19,4006.61,4737.3,1840.26,1709.31,1916.16,9498.53,10546.64,10119.78
"MAB_0020",1385.18,1224.12,1041.78,465.81,377.35,508.73,127.43,163.04,117.28,1699.05,1607.76,1718.72,1620.42,970.7,1181.8,586.47,591.84,598.85,2522.66,2452.96,2324.01
"MAB_0022c",733.93,812.19,492.73,679.54,449.16,817.28,81.93,67.88,92.88,653.53,550.64,681.97,579.27,802.5,824.74,700.77,605.19,616.47,569.09,473.7,423.41
"MAB_0023",1118.96,923.07,752.47,593.46,489.7,682.24,444.45,906.69,522,641.19,663.38,793.23,1240.76,1090.76,798.12,636.53,695.73,692.05,849.64,845.07,750.73
"MAB_0024c",619.91,528.35,449.62,298.11,255.39,327.15,304.24,433.66,287.59,530.99,542.69,584.49,807,617.74,652.04,426.11,377.49,540.53,798.23,772.59,707.12
"MAB_0025",1124.41,827.2,734.61,468.93,434.41,513.09,34.89,59.57,49.36,1555.19,1271.86,1393.15,1363.93,837.16,824.93,584.84,578.88,667.7,1521.84,1950.39,1740.89
"MAB_0026",2127.32,1723.38,1524.45,818.07,759.57,855.39,96.82,184.59,102.92,2628.03,2445.77,2553.84,2650.55,1649.38,1795.42,946.11,895.15,1047.86,3023.01,3211.09,3014.23
"MAB_0027c",744.89,592.86,497.89,337.39,236.69,405.88,517.38,793.42,580.19,659.77,610.15,642.53,877.16,758.76,679.15,432.26,469.08,447.96,564.16,626.15,518.11
"MAB_0028c",301.36,267.77,211.47,197.34,118.15,239.72,9.24,14.95,8.47,233.01,175.12,217.39,346.97,269.54,303.11,222.82,244.23,279.73,160.41,189.19,207.45
"MAB_0029c",412.59,366.07,290.03,275.22,185.77,379.39,13.65,24.68,17,329.41,249.19,344.8,429.64,439.99,370.31,372.89,375.86,426.99,307.89,282.49,245.43
"MAB_0030",153.82,154.56,112.89,110.9,74.24,120.88,16.49,26.44,25.77,114.98,115.19,138,182.68,176.67,249.18,160.42,256.73,224.71,185.62,123.05,88.18
"MAB_0031",472.16,458.58,392.66,289.55,221.89,332.51,43.26,85.54,37.96,430.01,453.99,513.62,499.3,422.07,479.41,339.82,310.73,308.46,578.22,540.28,482.64
"MAB_0032",1805.97,1503.12,1291.54,1744.58,1274.24,1831.43,65.24,106.39,79.46,658.59,576.42,630.89,1457.42,1201.78,1185.05,1442.81,1350.14,1608.66,682.5,562.01,593.8
"MAB_0033c",1447.92,1334.16,979.18,1075.05,732.61,1212.84,123.27,291.99,149.47,1962.38,1619.27,1951.41,1325.46,1138.76,1111.47,1011.09,897.91,1126.08,2175.18,1920.12,1763.41
"MAB_0034c",431.54,436.45,287.24,259.51,184.76,310.74,45.43,121.34,63.24,1034.7,805.97,880.23,459.93,359.08,352.53,272.78,257.16,284.8,1106.68,1060.61,1008.08
"MAB_0035c",279.57,291.62,197.36,163.61,141.89,210.22,45.69,133.74,51.58,638.03,543.15,606.8,249.05,265.23,260.55,188.78,179.89,199.58,620.55,620.2,610.76
"MAB_0036c",380.86,433.41,283.85,163.88,155.45,223.19,95.22,151.8,109.46,775.77,656.57,850.73,370.54,320.61,305.66,210.47,172.68,201.65,839.11,854.97,750.31
"MAB_0037c",1582.18,1483.64,1184.27,1011.81,759.58,1148.14,110.51,227.89,113.57,1844.7,1597,1933.24,1277.76,1200.31,1373.12,1066.66,974.62,1139.39,2216.84,2129.82,1904.32
"MAB_0038c",1686.62,1343.66,1196.68,1133.24,802.39,1217.95,102.72,223.11,131.84,1209.28,1006.93,1218.16,1541.14,1217.62,1371.41,1174.36,1253.31,1336.54,1346.85,1311.91,1291.59
"MAB_0039c",4500.27,3888.47,3289.88,6105.62,3789.85,6137.34,470.46,941.84,561.01,3715.12,3511.84,3592.82,5025.99,3849.54,4048.5,6859.08,7679.09,8091.69,3416.86,4468.14,4550.53
"MAB_0042",160.18,136.43,115.53,143.68,94.84,182.3,18.82,31.62,20.3,144.23,139.05,182.11,135.04,169.92,115.22,107.59,102.65,116.08,170.2,137.47,145.43
"MAB_0043",109.81,101.26,55.34,77.72,68.86,112.26,25.64,40.62,12.74,126.64,105.99,129.32,88.16,102.18,95.04,98.93,76.82,85.47,135.45,153.91,136.66
"MAB_0044",45.95,41.51,32.59,35.92,35.01,42.72,14.19,15.34,6.07,41.64,36.28,48.85,39.89,42.81,32.69,36.8,39.69,32.95,71.39,65.89,72
"MAB_0045",115.81,112.01,68.59,89.11,64,109.97,48.36,30.5,35.12,108.72,88.86,123.89,108.85,111.66,121.22,122.69,105.66,120.19,120.28,114.23,96.26
"MAB_0046",77.3,112.18,51.69,81.2,65.86,65.88,33.01,40.3,24.34,195.27,283.99,272.11,131.01,114.68,144.3,121.33,98.21,139,123.16,183.49,150.3
"MAB_0047",255.06,263.9,183.7,312.03,282.18,310.71,111.83,85.52,118.83,354.3,446.2,483,367.52,334.38,393.12,453.39,449.98,491.19,223.79,263.94,290.23
"MAB_0048",86.45,69.79,64.94,56.23,55.59,53.76,33.53,67.6,33.69,658.75,776.22,865.23,150.82,82.06,108.26,138.69,118.75,146.09,425.43,569.47,585.56
"MAB_0049",71.32,67.58,51.56,37.71,51.63,35.4,27.44,63.34,35.3,485.3,607.11,668.14,134.73,72.48,94.69,112.79,94.9,120.88,343,465.76,475.89
"MAB_0050c",62.65,49.47,42.19,39.34,27.93,29.86,243.72,135.12,318.89,41.2,52.3,56.59,132.89,187.45,146.34,48.19,79.54,36.66,26.72,20.05,22.86
"MAB_0051",42.84,46.54,28.46,38.41,32.95,54.69,118.55,65.3,110.95,53.03,52.69,57.16,71.23,127.99,125.41,77.86,74.65,67.57,35.34,48.05,29.05
"MAB_0052",36.85,41.23,28.62,31.15,30.84,41.41,34.78,28.49,36.99,45.51,44.62,53.68,36.73,56.39,58.51,40.35,57.92,35.39,50.91,48.77,37.96
"MAB_0053c",22.32,20.53,15.35,21.14,10.82,18.19,28.76,17.85,33.89,22.19,27.41,27.8,22.42,34.64,40.97,29.65,30.93,22.99,20.55,17.51,17.62
"MAB_0054c",33.43,38.76,34.84,28.46,17.99,36.68,32.97,22.86,47.55,22.76,31.69,47.58,45.77,46.7,52.41,42.88,35.7,39.62,27,28.78,21.59
"MAB_0055c",114.5,127.61,80.76,52.69,32.85,54.76,46.47,38.62,43.38,101.73,78.05,93.51,64.32,135.38,155.39,66.84,52.88,43.72,85.5,89.19,79.91
"MAB_0056c",419.35,491.69,328.26,243.95,175.77,267.57,101.57,116.07,112.8,733.86,600.11,721.84,594.61,513.84,499.14,336.78,273.46,308.3,635.99,664.14,556.43
"MAB_0057",188.64,183.28,128.46,258.78,169.89,243.74,14.47,24.39,13.65,189.31,222.22,277,261.51,296.01,223.62,277.38,243.18,269.54,288.7,308.78,275.68
"MAB_0058c",761.84,721.66,543.09,1176.68,887.65,1106.59,52.26,77.73,56.78,874.45,979.66,1094.43,1051.81,1278.81,1127.14,1512.19,1743.19,1619.39,1352.12,1486.62,1346.39
"MAB_0059c",0,6.15,0,6.85,2,9.08,2,4.95,5,3.03,4.46,4.97,5.99,3.39,14.01,2.39,4,5,3,2,1
"MAB_0060",56.47,51.01,34.32,32.92,25.55,42.45,6.32,12.23,4.07,71.12,73.7,81.42,44.08,31.55,33.81,22.66,21.7,27.95,112.92,97.26,94.69
"MAB_0061",103.47,109.3,64.77,112.89,84.88,134.66,40.5,39.08,42.05,131.24,132.2,173.32,107.34,131.35,170.51,136.72,134.93,150.19,122.72,115.23,106.2
"MAB_0062",803.57,640.24,533.09,407.16,339.59,476.5,146.19,132.23,137.68,838.08,758.36,830.36,678.66,552.93,475.15,353.23,329.7,417.55,1024.88,1080.24,1020.82
"MAB_0063c",130.8,116.34,104.2,61.2,32.93,51.62,98.46,80.51,119.73,84.12,81.01,102.41,114.19,101.47,112.92,53.19,51.92,68.85,61.84,95.99,113.5
"MAB_0064c",1418.7,1170.86,974.58,370.88,278.77,366.18,75.12,265.58,80.53,1482.49,1353.85,1399.26,1701.23,1162.7,1247.8,460.05,436.97,446.16,1762.2,1967.72,1827.84
"MAB_0065c",2203.74,1723.09,1491.85,1105.57,968.2,1119.14,54.77,165.81,44.78,2393.08,1969.59,2149.12,1967.03,1270.91,1794.78,1391.91,1481.77,1552.12,3636.28,3583.84,3537.77
"MAB_0066c",56.86,41.49,33.69,30.77,15.36,34.39,10.76,16.46,18.93,43.14,31.84,49.14,59.53,56.82,61.68,45.97,39.05,49.69,60.93,47.39,38.86
"MAB_0067",41.27,42.07,26.59,64.09,44.72,66.08,7,10.26,4,33.46,42.14,39.28,50.78,60.42,63.59,61.43,51.43,63.05,37.68,33.96,26.41
"MAB_0068",694.15,875.18,492.68,1355.7,905.04,1204.35,87.54,171.72,86.04,305.66,424.35,403.77,927.24,1307.07,1335.24,1396.81,1340.41,1329.41,429.57,280.34,302.31
"MAB_0069",1411.74,1490.86,1007.12,2229.43,1576.92,2136.72,787.05,1165.66,884.26,674.2,570.58,657.39,1429.39,1930.68,1933.24,2259.36,2376.2,2433.85,931.53,645.32,618.89
"MAB_0070",449.97,387.89,270.36,426.66,302.43,417.31,51.66,76.3,51.32,276.14,255.46,306.15,462.62,511.34,407.43,463.66,363.03,436.2,405.46,339.51,311.12
"MAB_0071c",499.96,494.19,306.39,490.8,352.7,523.91,46.45,88.91,53.8,354.57,310,348.59,536.23,654.28,559.23,461.53,446.82,501.57,453.84,363.55,347.64
"MAB_0072c",123.24,141.7,79.88,134.51,107.31,166.31,26.96,56.47,29.57,66.09,58.35,75.12,130.53,223.99,141.81,105.41,123.38,73.34,101.59,38.09,59
"MAB_0073c",38.47,35.74,30.12,43.74,20.34,49.74,37.31,39.81,31.41,35.42,22.04,25.77,36.77,74.43,79.24,44.54,45.39,21,32.92,22.84,26.82
"MAB_0074c",62.73,86.74,53.16,77.68,56.11,77.59,59.53,65.85,68.7,62.95,118.12,98.89,148.84,170.73,148.23,119.59,97.95,90,56.51,50.81,40.45
"MAB_0075",63.45,63.81,41.62,63.12,43.08,66.04,7.36,26.72,14.93,49.24,56.15,83.95,61.16,100.73,94.46,81.86,56.61,77.38,83.03,73.72,76.3
"MAB_0076",77.77,86.01,54.41,95.07,61.45,100.31,54.85,52.95,56.14,95.38,108.5,122.91,128.12,144.31,108.74,128.45,107.78,137.14,98.14,104.59,112.85
"MAB_0077",152.88,181.65,112.97,114.57,93.86,119.19,35.59,111.7,36.2,156.76,150.62,170.24,212.14,264.42,249.45,142.19,158.24,120.85,178.34,129.53,122.22
"MAB_0078",47.58,61.34,39.89,41.2,23.57,39.35,10.22,37.54,14.72,45.99,41.74,54.78,63.69,86.61,58.88,49.73,37.2,41.91,47.04,43.97,30.69
"MAB_0079c",9.8,20.97,8.27,14.64,10.78,9.35,8.32,5.32,3.22,13.88,12.08,17.42,11.66,14.28,22.89,10.76,15.66,15.41,16.39,15.8,10.62
"MAB_0080c",50.22,53.09,24.92,26.12,29,41.35,18.64,30.99,12,57.99,63.73,30.45,61.23,75.04,74.69,56.78,54.46,46.97,44.58,57.57,55.66
"MAB_0081",65.89,72.36,44.3,78.43,25.69,77.96,26.78,35.41,15,59.88,67.7,81.81,60.69,93.64,91.97,70.45,72.07,61.16,54.78,59.85,57.18
"MAB_0082c",197.93,170.81,171.69,144.46,103.55,215.53,29.22,26.93,17.01,213.47,203.23,247.31,182.32,222.03,211.16,132.86,150.57,134.82,222.86,247.88,218.5
"MAB_0083",98.31,101.08,74.41,67.05,38.04,72.65,11.11,14.66,6.09,111.16,85.22,88.68,98.72,99.74,85.68,71.72,76.82,87.39,121.5,95.66,94.59
"MAB_0084",245.3,246.64,200.27,189.78,138.66,189.64,24.23,54.12,29.55,373.69,258.2,318.62,273.51,226.14,225.39,266.03,235.14,233.92,388.16,346.65,305.11
"MAB_0085c",70.27,81.76,61.92,47.77,32.86,53.64,13.14,18.08,17.43,77.68,50.78,69.58,78.49,64.78,69.36,45.24,51.61,51.39,101.27,101.86,99.28
"MAB_0086",115.99,102.01,79.12,93.88,90.19,84.65,85.14,83.84,67.93,106.61,93.93,116,120.14,117.46,142.96,137.64,137.53,112.89,166.43,200.31,172.73
"MAB_0087c",111.16,124.46,74.39,79.81,56.61,59.54,27.35,48.91,23.66,128.54,107.78,92.35,125.61,127.43,136.7,83.18,62.42,79.69,77.15,115.55,74.78
"MAB_0088c",479.24,551.05,459.41,249.51,172.09,238.12,105.45,244.34,109.15,961.51,769.34,936.45,709.35,611.24,741.73,310.84,250.43,296.22,997.8,968.49,869.16
"MAB_0089c",514.78,458.11,340.26,341.58,252.14,396.04,74.04,165.76,86.27,863.76,657.35,738.93,698.26,557.24,660.78,446.05,438.22,489.47,937.19,877.58,891.85
"MAB_0090c",227.64,262.59,164.35,465.14,280.31,472.08,47.59,76.07,57.35,370.43,296.35,355.95,305.3,360.58,407.51,571.58,655.61,681.24,274.51,290.53,255.46
"MAB_0091",8337.3,7765.51,6150.62,3894.42,2862.64,4691.72,2680.81,2910.8,2745.97,14308.26,10576.76,12418.22,9788.85,8104.3,10270.74,5031.92,4963.93,5392.99,11870.12,10462.81,9798.99
"MAB_0092",2307.27,2070.64,1673.36,802.42,758.14,974.82,896.09,1236.97,933.41,5649.68,4320.5,4989.14,2669.81,2055.55,2748.99,1080.14,1106.62,1129.26,4729.7,4078.38,3995.82
"MAB_0093",517.51,514.54,320.92,637.93,381.86,591.97,25.92,41.73,41.19,204.51,162.73,208.77,519.14,667.54,576.7,512.8,487.54,459.18,254.66,186.23,219.82
"MAB_0094c",219.11,257.77,158.61,263.46,239.22,294.24,31.81,51.3,29.11,159.84,148.8,139.85,366.04,391.54,310.45,318.84,318.35,293.11,202.04,152.01,150.28
"MAB_0095",160.32,176.43,111.34,156.58,118.64,159.14,5.45,10.42,4.84,125.41,174.18,163.55,227.54,314.47,272.04,166,167.7,191.28,189.57,144.18,158.26
"MAB_0096",402.19,411.49,317.35,331.46,249.34,399.66,26.43,36.26,24.46,355.68,346.42,374.26,465.2,476.23,389.97,317.99,258.14,320.77,503.5,436.35,363.54
"MAB_0097",993.89,749.42,774.65,454.3,380.65,586.14,12.61,32.88,20.5,185.51,190.42,213.31,669.77,433.55,531.2,368.99,352.82,443.23,234.28,199.05,213.73
"MAB_0098",268.91,159.88,132.11,110.73,75.32,130.54,15.2,16.39,11.09,62.22,65.05,68.49,158.77,126.07,152.35,84.59,100.42,126.88,59.49,70.82,62.62
"MAB_0099",132.88,119.41,91.43,93.95,69.85,82.61,27,26.97,20.96,133.14,131.31,132.45,124.3,124.54,105.31,113.18,74.72,109.61,150.64,149.14,143.46
"MAB_0100",54.01,36.11,40.39,21.82,17,27.16,8.84,14.51,9.08,59.08,65.72,64.73,35.72,50.8,45.65,29.54,26.41,32.92,79.69,87.08,70.15
"MAB_0101",67.49,48.28,40.81,35.62,36.31,52.34,17.78,31.19,23,101.32,96.23,119.85,68.35,50.28,85.2,78.39,43.65,70.16,112.45,124.15,119.73
"MAB_0102",41.3,31.8,23.61,20.82,9.38,16.89,12.88,22.23,13.72,39.93,40.04,41.59,26.57,21.2,32.46,27.86,16.77,14.36,47.05,63.26,51.47
"MAB_0103",1367.03,1000.8,952.58,1513.49,1090.91,1926.26,71.32,145.8,76.35,1453.31,1303.23,1366.78,2163.86,1865.93,1870.76,3644.38,4861.24,5015.16,1430.18,1549.11,1487.7
"MAB_0104",363.89,283.68,222.55,241.32,135.26,265.11,95.05,133.31,101,284.88,278.88,312.26,487.54,428.04,480.41,297.22,309.46,343.49,307.96,292.54,278.51
"MAB_0105c",324.85,288.77,236.66,152.47,118.59,184.26,333.72,643.31,378.54,336.14,319.49,354.64,270.34,317.51,298.32,201.35,162.14,191.35,339.65,368.3,339.73
"MAB_0106c",1303.64,1161.42,994.28,421.65,346.49,504.19,915.64,2051.84,1259.16,783.89,908.19,921.85,1453.91,1171.07,1097.16,450.14,431.28,397.22,1202.2,1090.57,1018.15
"MAB_0107c",2096.69,1940.64,1525.3,617.11,505.51,719.92,1631.51,3267.12,2121.2,1433.04,1460.15,1518.43,2717.47,2110.61,1697.95,808.92,815.93,788.62,1877.09,1726.04,1807.62
"MAB_0108c",604.28,529.61,485.84,275.51,231.51,282.04,29.2,97.99,34.5,415.95,400.96,453.32,781.27,415.19,596.57,367.7,424.8,409.34,604.89,558.35,539.38
"MAB_0109c",899.24,804.31,619.43,312.73,294.96,352.61,95.31,330.15,143.51,1040.99,1026.93,1087.62,776.61,517.07,605.15,281.65,265.32,307.34,1955.84,1852.97,1761.77
"MAB_0110c",841.72,705.22,550.22,317.57,347.26,377.59,97.42,198.2,96.16,1056.04,855.5,927.15,762.26,540.61,614.89,383.53,357.78,464.11,1646.81,1513.74,1485.38
"MAB_0111c",673.55,529.23,447.31,283.42,239.55,344.07,290.93,245.2,341.24,707.38,601.72,624.41,688.7,525.66,557.04,393.65,431.72,556.23,948.41,846.35,977.24
"MAB_0112",4924.16,5154.36,3664.22,4343.96,3070.3,4608.5,220.89,790.34,395.16,3099.07,3456.22,3716.92,5276.93,5672.81,3926.08,2288.74,2259.05,2089.01,3817.8,2734.08,2995.7
"MAB_0113",857.81,808.92,643.7,588.39,479.73,761.74,399.61,609.72,446.35,507.62,553.01,652.62,913.66,1143.53,916.49,555.14,652.47,585.42,503.05,420.31,353.15
"MAB_0114",1082.12,985.38,733.31,959.66,695.39,1105.28,298.7,520.47,416.22,609.19,597.32,739.97,1065.72,1182.15,942.62,843.35,870.64,929.12,659.91,529.86,541.43
"MAB_0115c",2133.74,2579.93,1423.38,11880.3,7208.27,12164.08,225.74,443.92,240.04,1966.72,1713.91,1992.59,2542.96,2672.97,2254.8,14763.38,15854.99,17512.07,2821.41,2945.73,2751.46
"MAB_0116",182.42,177.05,127.22,218.64,164.58,241.57,102.38,133.38,111.23,145.73,152.01,160.2,215.73,273.78,207.34,238.18,246.64,221.68,114.68,99.23,98.91
"MAB_0117c",741.39,787.3,488.99,829.26,632.03,750.5,1878.92,1996.2,2032.26,850.54,1190.28,1223.43,1342.54,1321.05,1201.89,1161.53,1277.69,1369.31,775.54,676.68,645.76
"MAB_0118c",5942.61,4712.88,3848.15,4634.43,3445.2,4564.73,567.93,993.24,639.68,7218.5,6031.24,6398.92,7158.88,5031.43,5265.47,6619.84,7714.89,8409.59,9928.88,11317.35,10470.74
"MAB_0119c",528.62,440.59,316.51,247.46,156.42,524.41,22.68,30.84,26.64,614.84,521.81,746.14,448.93,448.45,338.26,243.18,287.27,299.76,597.59,419.54,408.28
"MAB_0120",1843.55,1366.12,1336.84,916.86,736.74,1095.15,141.11,405.57,209.84,1712.22,1981.55,2127.66,3126.93,2510.11,1591.05,976.57,1149.47,1038.85,1497.61,1440.51,1494.38
"MAB_0121",513.03,426.26,349.38,711.61,565.24,676.93,41.23,89.65,25.16,362.78,381.91,405.01,758.72,645,576.59,870.01,924.15,881.5,333.23,347.22,335.04
"MAB_0122",1927.46,1641.14,1388.97,1802.24,1387.07,2054.27,102.78,228.96,131.01,1627,1527.19,1828.64,2307.76,1976.05,1815.41,2012.53,1840.78,2119.88,1922.31,1787.27,1748.43
"MAB_0123",1214.31,1101.11,881.81,1010.92,837.18,1180.08,162.28,212.04,213.07,1071.35,1076.43,1278.07,1218.16,1186.35,946.54,835.51,796.92,974.64,1318.43,1179.19,1152.88
"MAB_0124",405.19,328,291.16,313.58,217.38,368.46,97.26,116.42,106.35,330.68,283.24,383.47,330.68,390.23,383.84,319.08,292.47,326.54,354.5,317.11,336.08
"MAB_0125c",1396.59,1110.81,1145.97,796.55,468.26,1144.57,46.69,119,49.97,485.01,300.93,407.39,855.43,1125.55,1199.5,699.97,685.03,585.5,806,641.92,575.81
"MAB_0126c",23306.14,19379.93,18563.32,10915.28,5776,15602.24,236.43,825.41,273.36,6779.03,4081.62,4229.8,12538.23,18741.73,16460.15,8704.22,8814.12,6806.38,14194.2,14890.23,12048.62
"MAB_0127c",2071.96,1640.77,1591.88,1019,555.15,1410.73,26.28,77.47,31.38,777.54,490.93,523.27,1175.38,1547.65,1400.38,833.7,797.99,608.07,1314.55,1398.7,1217.27
"MAB_0128c",159.04,118.2,104.05,98.27,84.23,105.3,20.09,26.26,18.72,118.27,132.95,168.42,133.99,111.03,113.78,99.5,100.68,104.01,210.36,225.96,207.73
"MAB_0129c",76.49,64.34,62.96,56.54,47.64,82.57,10.35,12.73,9.15,92.24,73.85,97.28,72.41,57.03,81.54,82.99,56.36,54.36,151.65,117.2,110.05
"MAB_0130",724.41,552.12,569.35,425.65,413.59,511.7,93.91,193.41,126.26,1165.11,975.76,1175.23,980,710.12,731.66,568.68,605.8,620.03,1298.22,1348.42,1103.78
"MAB_0131c",302.55,304.78,242.61,439.45,401.58,440.72,1514.54,2191.12,1518.7,276.77,381.91,421.18,617.73,613.08,513.84,687.38,750.46,849.72,203.15,267.7,222.66
"MAB_0132",1020.82,854.54,712.05,452.78,392.77,548.92,269.03,323.8,303.7,1028.14,1096.11,1191.43,1031.39,930,840.49,522.07,652.2,661.26,1364.39,1359.28,1152.64
"MAB_0133",1447.69,1394.12,980.82,807.24,580.35,941.46,229.57,436.47,248.04,917.92,1001.07,1097.32,1990.05,2444.19,1915.07,1257.72,2369.65,1608.14,1049.12,973.46,869.38
"MAB_0134c",396.88,420.35,275.41,261.62,228.34,315.72,66.84,109.11,53.77,468.76,472.07,569.12,625.54,613.7,529.61,410.86,460.04,417.65,592.62,577.99,581.49
"MAB_0135",5.27,6.68,2,2.97,6.92,3.88,7.34,2.95,2.55,9.23,2.65,12.77,5.28,6.49,7.68,9.42,7.59,2.69,4.93,4.36,3.66
"MAB_0136",41.01,46.53,31.97,31.72,19.76,43.59,34.09,35.64,38.31,43.28,36.26,38.69,48.04,55.34,69.55,42.97,38.09,38.86,53.43,50.03,53.22
"MAB_0137",40.46,39.99,31.74,29.69,21.23,38.51,25.3,17.82,20.42,41.57,43.3,52.54,42.22,48.24,52.34,37.74,36.31,18.54,71.53,58.43,42.35
"MAB_0138",137.39,124.7,84.34,121.51,95.58,158.99,39.81,40.2,39.82,152.62,126.18,186.27,109.15,108.96,119.99,128.78,141.58,132.45,163.41,154.34,137.16
"MAB_0139c",99.18,97,64.69,131.57,93.01,154.39,27.76,28.92,37.07,129.5,165.55,151.55,129.31,138.11,115.11,125.45,113.23,118.09,123.26,153.47,135.31
"MAB_0140c",106.99,100.26,77.26,59.28,51,72.47,27.34,41.23,24.57,189.53,173.22,224.11,100.85,108.86,139.2,115.24,75.08,88.55,237.51,300.22,293.09
"MAB_0141c",61.97,82.86,42.57,52.2,38.26,47.35,26.04,28.91,20.64,93.82,109.89,121.66,82.86,95.45,90.36,66.22,62.14,41.92,131.09,147.15,129.92
"MAB_0142c",183.69,147.88,111.01,101.5,68.08,127.27,52.8,50.73,36.45,221.84,201.07,225.68,174.14,134.35,175.2,145.73,122.2,99.2,241.41,348,297.85
"MAB_0143c",99.62,75.81,75.95,56.95,49.59,55.04,23,22.03,31.15,91.01,94,128.85,121.91,139.41,149.86,95.62,71.92,83.22,122.51,173.62,138.92
"MAB_0144c",199.89,166.01,132.3,116.66,94.85,125.53,46.15,23.64,26.16,128.15,120.14,134.28,219.81,267.51,280.22,184.93,143.3,143.61,180.47,177.64,163.5
"MAB_0145c",528.78,565.07,406.49,563.7,397.74,493,217.55,376.92,225.23,556.92,641.57,756.78,772.27,801.32,820.53,684.57,658.08,700.55,454.59,433.69,465.57
"MAB_0146",394.46,408.72,263.43,210.55,157.92,183.47,254.91,337.72,254.65,323.97,291.3,350.97,359.96,555.08,457.14,230.32,193.35,165.92,275.81,255.96,238.57
"MAB_0147c",1586.36,1450.03,1157.35,931.11,768.78,882.64,1060.49,1273.78,1008.7,1499.18,1482.89,1664.93,1572.09,1891.62,1902.24,1191.53,1234.32,1091.55,1687.5,1595.93,1579.09
